index,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2011-01-01,56.55753196937048,-2188.4169997932295,3496.5638523476205,56.55753196937048,56.55753196937048,483.2678596485799,483.2678596485799,483.2678596485799,701.9639963813261,701.9639963813261,701.9639963813261,-404.5391979913925,-404.5391979913925,-404.5391979913925,-234.38543042954387,-234.38543042954387,-234.38543042954387,420.2284916881904,420.2284916881904,420.2284916881904,0.0,0.0,0.0,539.8253916179503
1,2011-01-02,56.89290444599945,-4748.120746845753,997.3824281160951,56.89290444599945,56.89290444599945,-1974.1443729205148,-1974.1443729205148,-1974.1443729205148,701.9639963813261,701.9639963813261,701.9639963813261,-1123.4767456745833,-1123.4767456745833,-1123.4767456745833,-1254.1698477235454,-1254.1698477235454,-1254.1698477235454,-298.4617759037118,-298.4617759037118,-298.4617759037118,0.0,0.0,0.0,-1917.2514684745154
2,2011-01-03,57.22827692262841,-2776.436277519218,2930.31705276291,57.22827692262841,57.22827692262841,17.333018872832938,17.333018872832938,17.333018872832938,701.9639963813261,701.9639963813261,701.9639963813261,-705.0380266315241,-705.0380266315241,-705.0380266315241,358.0990292914986,358.0990292914986,358.0990292914986,-337.6919801684674,-337.6919801684674,-337.6919801684674,0.0,0.0,0.0,74.56129579546135
3,2011-01-04,57.563649399257386,-2528.2594509206965,3362.283434960284,57.563649399257386,57.563649399257386,279.8170663449431,279.8170663449431,279.8170663449431,701.9639963813261,701.9639963813261,701.9639963813261,-135.72544229962003,-135.72544229962003,-135.72544229962003,515.5202245080052,515.5202245080052,515.5202245080052,-801.941712244768,-801.941712244768,-801.941712244768,0.0,0.0,0.0,337.3807157442005
4,2011-01-05,57.89902187588634,-1258.4141035862328,4462.065063417585,57.89902187588634,57.89902187588634,1676.1645737847903,1676.1645737847903,1676.1645737847903,701.9639963813261,701.9639963813261,701.9639963813261,49.678952113968336,49.678952113968336,49.678952113968336,530.6440142325253,530.6440142325253,530.6440142325253,393.87761105697075,393.87761105697075,393.87761105697075,0.0,0.0,0.0,1734.0635956606766
5,2011-01-06,58.23439435251532,-1998.8313094502412,3405.2548198511645,58.23439435251532,58.23439435251532,690.9719675659605,690.9719675659605,690.9719675659605,701.9639963813261,701.9639963813261,701.9639963813261,103.58990199074651,103.58990199074651,103.58990199074651,703.8918554655928,703.8918554655928,703.8918554655928,-818.4737862717049,-818.4737862717049,-818.4737862717049,0.0,0.0,0.0,749.2063619184759
6,2011-01-07,58.56976682914429,123.0318412891183,6077.4793985926835,58.56976682914429,58.56976682914429,3228.4788016684224,3228.4788016684224,3228.4788016684224,701.9639963813261,701.9639963813261,701.9639963813261,105.21911877122169,105.21911877122169,105.21911877122169,1018.3161462022498,1018.3161462022498,1018.3161462022498,1402.979540313624,1402.979540313624,1402.979540313624,0.0,0.0,0.0,3287.0485684975665
7,2011-01-08,58.90513930577325,-2053.5173350109667,3648.640219796588,58.90513930577325,58.90513930577325,717.5173739958566,717.5173739958566,717.5173739958566,701.9639963813261,701.9639963813261,701.9639963813261,901.970308364791,901.970308364791,901.970308364791,-234.38543042661118,-234.38543042661118,-234.38543042661118,-652.0315003236492,-652.0315003236492,-652.0315003236492,0.0,0.0,0.0,776.4225133016298
8,2011-01-09,59.24051189501344,-3012.314543404872,2739.9595629307605,59.24051189501344,59.24051189501344,-268.7519913004159,-268.7519913004159,-268.7519913004159,701.9639963813261,701.9639963813261,701.9639963813261,749.6321829924132,749.6321829924132,749.6321829924132,-1254.1698477219113,-1254.1698477219113,-1254.1698477219113,-466.17832295224383,-466.17832295224383,-466.17832295224383,0.0,0.0,0.0,-209.51147940540247
9,2011-01-10,59.57588448425363,-2507.2565621221083,3194.616218077113,59.57588448425363,59.57588448425363,272.6143198954385,272.6143198954385,272.6143198954385,701.9639963813261,701.9639963813261,701.9639963813261,558.9238093068614,558.9238093068614,558.9238093068614,358.09902929793884,358.09902929793884,358.09902929793884,-1346.3725150906873,-1346.3725150906873,-1346.3725150906873,0.0,0.0,0.0,332.1902043796921
10,2011-01-11,59.91125707349382,-2832.671469486881,3399.538657946674,59.91125707349382,59.91125707349382,319.73463970184275,319.73463970184275,319.73463970184275,701.9639963813261,701.9639963813261,701.9639963813261,227.01534246696536,227.01534246696536,227.01534246696536,515.5202245322649,515.5202245322649,515.5202245322649,-1124.7649236787136,-1124.7649236787136,-1124.7649236787136,0.0,0.0,0.0,379.64589677533655
11,2011-01-12,60.246629662734,-1760.7810523995433,3586.3421462610777,60.246629662734,60.246629662734,893.4203297666774,893.4203297666774,893.4203297666774,701.9639963813261,701.9639963813261,701.9639963813261,873.2203667126666,873.2203667126666,873.2203667126666,530.6440142421924,530.6440142421924,530.6440142421924,-1212.408047569508,-1212.408047569508,-1212.408047569508,0.0,0.0,0.0,953.6669594294113
12,2011-01-13,60.582002251974195,-2146.4558337236954,3675.7771475104337,60.582002251974195,60.582002251974195,606.6833891185331,606.6833891185331,606.6833891185331,701.9639963813261,701.9639963813261,701.9639963813261,517.779408732388,517.779408732388,517.779408732388,703.8918554590192,703.8918554590192,703.8918554590192,-1316.9518714542003,-1316.9518714542003,-1316.9518714542003,0.0,0.0,0.0,667.2653913705074
13,2011-01-14,60.91737484121439,-1442.4656805792572,4456.740634894042,60.91737484121439,60.91737484121439,1412.4835919743336,1412.4835919743336,1412.4835919743336,701.9639963813261,701.9639963813261,701.9639963813261,813.1698329208157,813.1698329208157,813.1698329208157,1018.316146212362,1018.316146212362,1018.316146212362,-1120.966383540171,-1120.966383540171,-1120.966383540171,0.0,0.0,0.0,1473.4009668155481
14,2011-01-15,61.25274743045457,-2695.707037271739,3196.28913281534,61.25274743045457,61.25274743045457,5.4406093976800785,5.4406093976800785,5.4406093976800785,701.9639963813261,701.9639963813261,701.9639963813261,943.4192545693721,943.4192545693721,943.4192545693721,-234.3854304407315,-234.3854304407315,-234.3854304407315,-1405.5572111122867,-1405.5572111122867,-1405.5572111122867,0.0,0.0,0.0,66.69335682813465
15,2011-01-16,61.58812001969475,-2249.825019968295,3333.0084312367603,61.58812001969475,61.58812001969475,579.7988252611999,579.7988252611999,579.7988252611999,701.9639963813261,701.9639963813261,701.9639963813261,1156.8340782000416,1156.8340782000416,1156.8340782000416,-1254.1698477202247,-1254.1698477202247,-1254.1698477202247,-24.829401599943182,-24.829401599943182,-24.829401599943182,0.0,0.0,0.0,641.3869452808947
16,2011-01-17,61.92349278067354,-3628.5736359043217,2255.961624007114,61.92349278067354,61.92349278067354,-789.5396823492064,-789.5396823492064,-789.5396823492064,701.9639963813261,701.9639963813261,701.9639963813261,416.62840734997195,416.62840734997195,416.62840734997195,358.09902929528846,358.09902929528846,358.09902929528846,-2266.2311153757933,-2266.2311153757933,-2266.2311153757933,0.0,0.0,0.0,-727.6161895685328
17,2011-01-18,62.258865541652334,-1698.8055448033886,4074.8805268177634,62.258865541652334,62.258865541652334,1107.7900318662166,1107.7900318662166,1107.7900318662166,701.9639963813261,701.9639963813261,701.9639963813261,439.1360408636071,439.1360408636071,439.1360408636071,515.5202245168063,515.5202245168063,515.5202245168063,-548.8302298955226,-548.8302298955226,-548.8302298955226,0.0,0.0,0.0,1170.048897407869
18,2011-01-19,62.59423830263112,-2484.4514963651077,3180.813983165584,62.59423830263112,62.59423830263112,289.5901518232287,289.5901518232287,289.5901518232287,701.9639963813261,701.9639963813261,701.9639963813261,-105.04912429400031,-105.04912429400031,-105.04912429400031,530.6440142389015,530.6440142389015,530.6440142389015,-837.9687345029984,-837.9687345029984,-837.9687345029984,0.0,0.0,0.0,352.18439012585986
19,2011-01-20,62.92961106360991,-2010.5576548701865,3665.6795117699667,62.92961106360991,62.92961106360991,717.5337442596866,717.5337442596866,717.5337442596866,701.9639963813261,701.9639963813261,701.9639963813261,391.76450736452165,391.76450736452165,391.76450736452165,703.8918554603761,703.8918554603761,703.8918554603761,-1080.086614946537,-1080.086614946537,-1080.086614946537,0.0,0.0,0.0,780.4633553232966
20,2011-01-21,63.264983824588704,-1022.6966771791773,4309.261637854052,63.264983824588704,63.264983824588704,1544.5174394504152,1544.5174394504152,1544.5174394504152,701.9639963813261,701.9639963813261,701.9639963813261,153.2374272289849,153.2374272289849,153.2374272289849,1018.3161462037443,1018.3161462037443,1018.3161462037443,-329.00013036364095,-329.00013036364095,-329.00013036364095,0.0,0.0,0.0,1607.7824232750038
21,2011-01-22,63.60035658556748,-1786.527572842184,3882.7068580576183,63.60035658556748,63.60035658556748,751.9903775391456,751.9903775391456,751.9903775391456,701.9639963813261,701.9639963813261,701.9639963813261,689.2044963281079,689.2044963281079,689.2044963281079,-234.3854304289318,-234.3854304289318,-234.3854304289318,-404.79268474135654,-404.79268474135654,-404.79268474135654,0.0,0.0,0.0,815.5907341247131
22,2011-01-23,63.935729346546275,-3106.6173887157233,2503.475063661327,63.935729346546275,63.935729346546275,-402.4952898111871,-402.4952898111871,-402.4952898111871,701.9639963813261,701.9639963813261,701.9639963813261,-68.6653417325047,-68.6653417325047,-68.6653417325047,-1254.1698477226516,-1254.1698477226516,-1254.1698477226516,218.37590326264336,218.37590326264336,218.37590326264336,0.0,0.0,0.0,-338.5595604646408
23,2011-01-24,64.27110196519627,-2216.0909556941506,3521.577068362961,64.27110196519627,64.27110196519627,767.4553546805635,767.4553546805635,767.4553546805635,701.9639963813261,701.9639963813261,701.9639963813261,609.5992168555459,609.5992168555459,609.5992168555459,358.0990292850381,358.0990292850381,358.0990292850381,-902.2068878413464,-902.2068878413464,-902.2068878413464,0.0,0.0,0.0,831.7264566457598
